user_email,date,weekday,is_holiday,has_work_event,has_gym_event,item_name,item_priority,item_category,needed_label,packed
demo1@example.com,2025-06-03,1,0,1,1,ID Card,high,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Access Card,high,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Laptop,high,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Charger,medium,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Power Bank,medium,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Lunch Box,medium,home,1,0
demo1@example.com,2025-06-03,1,0,1,1,Water Bottle,medium,personal,1,1
demo1@example.com,2025-06-03,1,0,1,1,Notebook,medium,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Pen,low,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Headphones,low,work,1,1
demo1@example.com,2025-06-03,1,0,1,1,Gym Shoes,medium,gym,1,1
demo1@example.com,2025-06-03,1,0,1,1,Gym Towel,low,gym,1,1
demo1@example.com,2025-06-03,1,0,1,1,Umbrella,medium,personal,1,1
demo1@example.com,2025-06-04,2,0,1,0,ID Card,high,work,1,0
demo1@example.com,2025-06-04,2,0,1,0,Access Card,high,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Laptop,high,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Charger,medium,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Power Bank,medium,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Lunch Box,medium,home,0,0
demo1@example.com,2025-06-04,2,0,1,0,Water Bottle,medium,personal,1,1
demo1@example.com,2025-06-04,2,0,1,0,Notebook,medium,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Pen,low,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Headphones,low,work,1,1
demo1@example.com,2025-06-04,2,0,1,0,Gym Shoes,medium,gym,0,0
demo1@example.com,2025-06-04,2,0,1,0,Gym Towel,low,gym,0,0
